time,engineLoad,coolantTemp,rpm,speed,intakeTemp,maf,throttlePos,ambiantTemp,xG,yG,zG,gpsSpeed,gpsLat,gpsLon,gpsAlt,gpsClimb
13:46:20.751344,29.80392156862745,78,1102.0,0.0,54,9.86,0.0,,-0.07958984375,0.181640625,0.974609375,0.12750536910000002,37.44951,-121.893856667,3.5,0.0
13:46:20.856118,29.80392156862745,78,1102.0,0.0,54,9.86,0.0,,-0.1201171875,0.1875,0.935546875,0.12750536910000002,37.44951,-121.893856667,3.5,0.0
13:46:20.960267,29.80392156862745,78,1102.0,0.0,54,9.86,0.0,,-0.1357421875,0.216796875,1.0009765625,0.12750536910000002,37.44951,-121.893856667,3.5,0.0
13:46:21.065326,29.80392156862745,78,1059.0,0.0,54,9.86,0.0,,-0.0830078125,0.20166015625,0.98291015625,0.14987473210000002,37.44951,-121.893856667,3.5,0.0
13:46:21.170061,29.80392156862745,78,1059.0,0.0,54,9.86,0.0,,-0.1171875,0.20849609375,0.98876953125,0.2080350759,37.44951,-121.893858333,3.5,0.0
13:46:21.274713,29.80392156862745,78,1059.0,0.0,54,7.5,0.0,,-0.07177734375,0.19189453125,0.9599609375,0.21921975740000002,37.449508333,-121.893858333,3.5,0.0
13:46:21.379280,29.80392156862745,78,1059.0,0.0,54,7.5,0.0,,-0.0849609375,0.18212890625,0.97705078125,0.10289906979999999,37.44951,-121.89386,3.5,0.0
13:46:21.743869,32.94117647058823,77,1059.0,0.0,54,7.5,0.0,,-0.09814453125,0.19970703125,1.0029296875,0.2415891204,37.44951,-121.893858333,3.5,0.0
13:46:22.686216,32.94117647058823,77,1059.0,0.0,54,15.0,0.0,,-0.1025390625,0.16943359375,1.064453125,0.2415891204,37.44951,-121.893858333,3.5,0.0
13:46:23.876899,32.94117647058823,77,1176.0,0.0,54,15.0,0.0,,-0.11474609375,0.21533203125,0.95947265625,0.08052970679999999,37.44951,-121.893858333,3.5,0.0
13:46:23.981412,37.64705882352941,77,1176.0,1.242742,53,15.0,0.0,,-0.05078125,0.22021484375,0.958984375,0.2639584834,37.44951,-121.893856667,3.5,0.0
