time,engineLoad,coolantTemp,rpm,speed,intakeTemp,maf,throttlePos,timingAdvance,xG,yG,zG,orientation,gpsSpeed,gpsLat,gpsLon,gpsAlt,gpsClimb
10:58:52.697172,17.647058823529413,78,1006.0,0.0,49,5.55,0.0,21.5,-0.02978515625,-0.09228515625,0.99951171875,,0.022369363,36.58726,-121.754895,222.5,0.0
10:58:53.778651,17.647058823529413,78,1000.0,0.0,49,5.55,0.0,21.5,-0.0185546875,-0.09130859375,1.00341796875,,0.022369363,36.58726,-121.754895,222.5,0.0
10:58:54.779222,17.647058823529413,78,1000.0,0.0,49,5.55,0.0,21.5,-0.02685546875,-0.08544921875,0.99853515625,,0.0335540445,36.58726,-121.754895,222.5,0.0
10:58:55.920956,17.647058823529413,78,1019.0,0.0,49,5.41,0.0,21.5,-0.02001953125,-0.09228515625,0.9921875,,0.022369363,36.58726,-121.754895,222.5,0.0
10:58:56.772179,17.647058823529413,78,1019.0,0.0,49,5.41,0.0,21.5,-0.01904296875,-0.09130859375,1.01025390625,,0.022369363,36.58726,-121.754895,222.5,0.0
10:58:57.724393,17.647058823529413,78,1006.0,0.0,49,5.48,0.0,21.5,-0.03173828125,-0.10205078125,1.01025390625,,0.022369363,36.58726,-121.754895,222.5,0.0
10:58:58.710223,17.647058823529413,78,1006.0,0.0,49,5.48,0.0,21.5,-0.0166015625,-0.10009765625,1.0205078125,,0.022369363,36.587258333,-121.754895,222.4,-0.22369363
10:58:59.722257,17.647058823529413,78,995.0,0.0,49,5.55,0.0,21.5,-0.0048828125,-0.0888671875,0.9912109375,,0.0111846815,36.587258333,-121.754895,222.4,0.0
10:59:00.962686,17.254901960784313,78,1004.0,0.0,49,5.55,0.0,21.5,-0.01904296875,-0.09423828125,0.9931640625,,0.022369363,36.587258333,-121.754895,222.3,-0.22369363
10:59:01.765489,17.254901960784313,78,1004.0,0.0,49,5.55,0.0,21.5,-0.0146484375,-0.0888671875,1.00244140625,,0.022369363,36.587258333,-121.754895,222.2,-0.22369363
10:59:02.765027,17.647058823529413,78,988.0,0.0,49,5.55,0.0,21.5,-0.00244140625,-0.09326171875,0.9921875,,0.022369363,36.587258333,-121.754895,222.0,-0.44738726
10:59:03.765328,17.647058823529413,78,988.0,0.0,49,5.41,0.0,21.5,-0.017578125,-0.09326171875,0.99462890625,,0.022369363,36.587258333,-121.754895,221.9,-0.22369363
10:59:04.715840,17.647058823529413,78,1002.0,0.0,49,5.41,0.0,21.5,-0.01171875,-0.10693359375,1.03857421875,,0.022369363,36.587258333,-121.754895,221.8,-0.22369363
10:59:05.972273,17.647058823529413,78,1002.0,0.0,49,5.41,0.0,21.5,-0.029296875,-0.09375,1.00048828125,,0.022369363,36.587256667,-121.754896667,221.8,0.0
10:59:06.704820,17.647058823529413,78,983.0,0.0,49,5.41,0.0,21.5,-0.02392578125,-0.08544921875,0.990234375,,0.022369363,36.587255,-121.754896667,221.8,0.0
10:59:07.770172,18.823529411764707,78,983.0,0.0,49,5.55,0.0,21.5,-0.0029296875,-0.10595703125,1.01513671875,,0.022369363,36.587255,-121.754896667,221.8,0.0
10:59:08.727061,18.823529411764707,78,968.0,0.0,49,5.55,0.0,21.5,-0.01416015625,-0.10205078125,1.00244140625,,0.0335540445,36.587255,-121.754896667,221.8,0.0
10:59:09.760474,18.823529411764707,78,968.0,0.0,49,5.62,0.0,21.5,-0.02392578125,-0.080078125,0.9609375,,0.0335540445,36.587255,-121.754896667,221.8,0.0
10:59:10.926713,18.823529411764707,78,964.0,0.0,49,5.69,0.0,21.5,-0.01171875,-0.10009765625,0.998046875,,0.022369363,36.587255,-121.754896667,221.8,0.0
10:59:11.701191,18.431372549019606,78,964.0,0.0,49,5.69,0.0,21.5,-0.02099609375,-0.08154296875,0.9873046875,,0.0111846815,36.587255,-121.754896667,221.7,-0.22369363
10:59:12.701706,18.431372549019606,78,1001.0,0.0,49,5.69,0.0,21.5,-0.01416015625,-0.09130859375,0.99560546875,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:13.727528,17.254901960784313,78,1001.0,0.0,49,5.48,0.0,21.5,-0.01171875,-0.0966796875,1.00244140625,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:14.736792,17.254901960784313,78,1003.0,0.0,49,5.41,0.0,21.5,-0.013671875,-0.08251953125,0.99560546875,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:15.973522,17.647058823529413,78,1003.0,0.0,49,5.41,0.0,21.5,-0.0126953125,-0.09814453125,1.00634765625,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:16.732749,17.647058823529413,78,988.0,0.0,49,5.34,0.0,21.5,-0.0166015625,-0.095703125,0.99560546875,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:17.733525,17.647058823529413,78,988.0,0.0,49,5.34,0.0,21.5,-0.02734375,-0.091796875,0.98876953125,,0.0111846815,36.587255,-121.754896667,221.7,0.0
10:59:18.778805,17.647058823529413,78,976.0,0.0,49,5.34,0.0,21.5,-0.00390625,-0.09375,0.9990234375,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:19.774574,17.254901960784313,78,976.0,0.0,49,5.34,0.0,21.5,-0.02783203125,-0.08984375,0.98974609375,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:20.917319,17.254901960784313,78,984.0,0.0,49,5.41,0.0,21.5,-0.00927734375,-0.08740234375,0.98583984375,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:21.755560,17.647058823529413,78,984.0,0.0,49,5.41,0.0,21.5,-0.0068359375,-0.091796875,1.0009765625,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:22.778234,17.647058823529413,78,961.0,0.0,49,5.41,0.0,21.5,-0.02294921875,-0.10205078125,0.99560546875,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:23.777552,17.647058823529413,78,961.0,0.0,49,5.41,0.0,21.5,-0.01611328125,-0.09423828125,0.9931640625,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:24.779867,17.647058823529413,78,966.0,0.0,49,5.34,0.0,21.5,-0.01806640625,-0.10546875,0.99951171875,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:25.922487,17.647058823529413,78,966.0,0.0,49,5.34,0.0,21.5,-0.02001953125,-0.09033203125,0.9951171875,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:26.764539,17.647058823529413,78,968.0,0.0,49,5.27,0.0,21.5,-0.0234375,-0.09814453125,0.99951171875,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:27.714237,17.254901960784313,78,968.0,0.0,49,5.27,0.0,21.5,-0.01708984375,-0.09375,0.9970703125,,0.022369363,36.587255,-121.754896667,221.7,0.0
10:59:28.777023,17.254901960784313,78,962.0,0.0,49,5.27,0.0,21.5,-0.0078125,-0.091796875,1.00927734375,,0.022369363,36.587255,-121.754896667,221.7,0.0
