time,engineLoad,coolantTemp,rpm,speed,intakeTemp,maf,throttlePos,timingAdvance,xG,yG,zG,orientation,gpsSpeed,gpsLat,gpsLon,gpsAlt,gpsClimb
11:41:22.025208,73.33333333333333,84,5338.0,70.836294,21,18.68,11.764705882352942,28.5,0.712890625,-0.4794921875,1.2236328125,5,0.0111846815,36.587165,-121.755086667,231.4,0.0
11:41:22.140143,73.33333333333333,84,5338.0,70.836294,21,18.68,11.764705882352942,28.5,0.91552734375,-0.9765625,1.25927734375,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:22.244252,73.33333333333333,84,5338.0,68.35081,21,18.68,11.764705882352942,28.5,0.505859375,-0.79443359375,1.02099609375,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:22.348411,73.33333333333333,84,5338.0,68.35081,21,18.68,11.764705882352942,28.5,0.5458984375,-0.46875,0.677734375,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:22.452495,73.33333333333333,84,5338.0,68.35081,21,18.68,11.764705882352942,28.5,0.65576171875,-0.5400390625,0.91748046875,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:22.556810,73.33333333333333,84,5338.0,68.35081,21,18.68,11.764705882352942,28.5,0.431640625,-0.90771484375,1.0419921875,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:22.661881,73.33333333333333,84,5338.0,68.35081,21,18.68,11.764705882352942,28.5,0.21533203125,-0.38330078125,0.6796875,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:22.766885,73.33333333333333,84,5692.0,68.35081,21,18.68,11.764705882352942,28.5,0.3828125,-0.93505859375,1.0107421875,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:22.871575,73.33333333333333,84,5692.0,68.35081,21,18.68,11.764705882352942,28.5,0.41650390625,-0.71533203125,0.982421875,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:22.976647,73.33333333333333,84,5692.0,68.35081,21,18.68,11.764705882352942,28.5,0.18310546875,-0.96484375,0.78759765625,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:23.081345,73.33333333333333,84,5692.0,68.35081,21,180.62,11.764705882352942,28.5,0.357421875,-0.56982421875,1.10009765625,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:23.188095,73.33333333333333,84,5692.0,68.35081,21,180.62,11.764705882352942,28.5,0.1064453125,-0.49658203125,0.9892578125,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:23.293123,73.33333333333333,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,0.18359375,-0.43505859375,0.8876953125,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:23.398203,73.33333333333333,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,0.236328125,-0.56201171875,0.9931640625,5,0.0,36.587165,-121.755085,231.4,0.0
11:41:23.503006,73.33333333333333,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,0.4052734375,-0.4345703125,1.12158203125,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:23.608243,73.33333333333333,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,0.2490234375,-0.58203125,1.00244140625,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:23.714981,73.33333333333333,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,0.3828125,-0.25390625,0.92138671875,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:23.820180,73.33333333333333,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,0.07958984375,-0.83203125,0.88525390625,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:23.925167,100.0,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,-0.00390625,-0.83154296875,0.86376953125,5,0.0111846815,36.587165,-121.755085,231.4,0.0
11:41:24.030309,100.0,84,5692.0,68.35081,21,180.62,72.94117647058823,28.5,0.21337890625,-0.7509765625,1.19873046875,5,0.0,36.587165,-121.755085,231.3,-0.22369363
11:41:24.135125,100.0,84,5692.0,68.35081,21,180.62,72.94117647058823,20.0,0.13623046875,-0.7197265625,1.04833984375,5,0.0111846815,36.587165,-121.755085,231.3,0.0
11:41:24.242072,100.0,84,5692.0,68.35081,21,180.62,72.94117647058823,20.0,-0.013671875,-0.59619140625,0.96875,5,0.0111846815,36.587165,-121.755085,231.3,0.0
11:41:24.346854,100.0,84,5692.0,78.292746,21,180.62,72.94117647058823,20.0,0.71240234375,-0.78955078125,1.00390625,5,0.0111846815,36.587165,-121.755085,231.3,0.0
